,Date,EnteroCount
195,6/17/2008,23.923076923076923
196,6/17/2010,31.6875
197,6/18/2007,9.933333333333334
198,6/18/2008,36.0
199,6/18/2009,107.0
200,6/18/2010,106.88
201,6/19/2008,189.33333333333334
202,6/19/2009,160.0
203,6/19/2012,5.0
204,6/19/2013,37.5
205,6/2/2007,18.0
206,6/2/2011,320.3333333333333
207,6/2/2012,97.0
208,6/2/2013,31.583333333333332
209,6/20/2007,6.833333333333333
210,6/20/2008,72.0
211,6/20/2013,29.09090909090909
212,6/21/2010,528.0
213,6/21/2013,19.5
214,6/22/2009,131.45454545454547
215,6/22/2013,36.0
216,6/23/2009,31.3
217,6/23/2013,21.6
218,6/24/2008,312.0
219,6/24/2013,306.4117647058824
220,6/25/2007,149.0
221,6/25/2008,392.6666666666667
222,6/26/2007,1500.0
223,6/26/2012,
224,6/27/2007,22.0
225,6/27/2011,64.4
226,6/28/2007,109.16666666666667
227,6/28/2010,523.6666666666666
228,6/28/2011,114.66666666666667
229,6/29/2007,819.5
230,6/29/2009,197.0
231,6/29/2011,146.83333333333334
232,6/3/2007,40.0
233,6/3/2010,
234,6/3/2013,34.22222222222222
235,6/30/2011,77.0
236,6/30/2012,3.0
237,6/4/2007,1500.0
238,6/4/2009,14.0
239,6/4/2013,857.1538461538462
240,6/5/2007,200.0
241,6/5/2008,1300.0
242,6/5/2009,323.2
243,6/6/2007,72.0
244,6/6/2009,41.0
245,6/7/2007,18.0
246,6/8/2007,46.0
247,6/8/2009,10.0
248,6/8/2010,10.0
249,6/9/2007,121.0
250,6/9/2008,230.5
251,6/9/2009,1371.8
252,7/1/2008,150.0
253,7/1/2011,14.777777777777779
254,7/10/2007,250.0
255,7/10/2008,203.5
256,7/11/2007,211.625
257,7/11/2008,63.0
258,7/12/2007,1200.0
259,7/13/2009,135.5
260,7/14/2008,771.0714285714286
261,7/14/2011,44.57142857142857
262,7/14/2012,20.0
263,7/15/2008,47.55555555555556
264,7/15/2009,
265,7/15/2011,10.857142857142858
266,7/16/2007,20.5
267,7/16/2008,5.888888888888889
268,7/16/2011,3.375
269,7/16/2012,255.57142857142858
270,7/17/2008,12.263157894736842
271,7/17/2011,5.0
272,7/17/2012,10.0
273,7/17/2013,99.44444444444444
274,7/18/2007,1500.0
275,7/18/2011,13.333333333333334
276,7/18/2013,32.8
277,7/19/2009,78.0
278,7/19/2010,50.869565217391305
279,7/19/2011,179.71428571428572
280,7/19/2012,22.1
281,7/19/2013,209.6
282,7/2/2007,179.0
283,7/2/2008,530.1538461538462
284,7/2/2011,36.357142857142854
285,7/20/2007,1500.0
286,7/20/2008,70.0
287,7/20/2010,147.93333333333334
288,7/20/2012,209.6
289,7/20/2013,12.571428571428571
290,7/21/2010,16.666666666666668
291,7/21/2012,10.846153846153847
292,7/21/2013,28.695652173913043
293,7/22/2010,510.46666666666664
294,7/23/2007,818.0
295,7/23/2008,3090.0
296,7/24/2007,1500.0
297,7/24/2012,3.5
298,7/25/2008,154.5
299,7/25/2009,10.0
300,7/26/2007,191.0
301,7/26/2009,
302,7/26/2010,1479.0
303,7/27/2007,308.0
304,7/28/2009,72.0
305,7/28/2012,399.0
306,7/29/2009,60.5
307,7/3/2008,1013.5
308,7/30/2007,530.0
309,7/30/2009,252.07142857142858
310,7/31/2008,36.5
311,7/31/2009,1539.0833333333333
312,7/6/2009,52.0
313,7/6/2010,871.5
314,7/9/2007,221.0
315,8/1/2007,106.5
316,8/10/2008,279.0
317,8/10/2010,559.3333333333334
318,8/13/2012,332.6666666666667
319,8/14/2012,30.0
320,8/14/2013,491.6666666666667
321,8/15/2012,99.5
322,8/15/2013,199.64285714285714
323,8/16/2007,26.583333333333332
324,8/16/2008,13780.0
325,8/16/2011,461.1333333333333
326,8/16/2012,5.166666666666667
327,8/17/2010,1383.7777777777778
328,8/17/2011,3035.875
329,8/17/2012,15.0
330,8/17/2013,22.9
331,8/18/2010,39.375
332,8/18/2011,177.83333333333334
333,8/18/2012,47.23529411764706
334,8/18/2013,41.583333333333336
335,8/19/2008,43.285714285714285
336,8/19/2010,64.83333333333333
337,8/19/2011,14.428571428571429
338,8/19/2013,123.6470588235294
339,8/2/2007,185.0
340,8/20/2009,29.666666666666668
341,8/20/2010,40.8125
342,8/20/2011,24.0
343,8/20/2012,17.0
344,8/21/2008,38.0
345,8/21/2009,25.142857142857142
346,8/21/2010,23.352941176470587
347,8/21/2011,287.45454545454544
348,8/21/2012,
349,8/22/2008,59.5
350,8/22/2009,1115.090909090909
351,8/23/2007,76.125
352,8/23/2009,304.53846153846155
353,8/23/2010,338.1666666666667
354,8/24/2009,884.1875
355,8/24/2010,860.0
356,8/28/2008,30.0
357,8/29/2009,
358,8/29/2010,1107.0
359,8/3/2007,187.0
360,8/3/2009,45.4
361,8/3/2010,791.5
362,8/4/2012,
363,8/6/2007,320.0
364,8/6/2008,378.46153846153845
365,8/7/2008,93.0
366,8/8/2008,24.0
367,8/9/2008,175.23529411764707
368,8/9/2010,63.0
369,9/1/2012,1.5
370,9/10/2008,170.0
371,9/10/2012,262.7142857142857
372,9/11/2010,14.285714285714286
373,9/11/2012,46.22222222222222
374,9/12/2010,41.25
375,9/13/2010,51.88235294117647
376,9/13/2012,16.25
377,9/14/2009,15.0
378,9/14/2010,33.90909090909091
379,9/14/2011,42.23076923076923
380,9/14/2012,174.83333333333334
381,9/15/2008,16.0
382,9/15/2009,45.5
383,9/15/2011,752.8235294117648
384,9/15/2012,125.71428571428571
385,9/16/2008,2.6666666666666665
386,9/16/2009,81.94117647058823
387,9/17/2008,8.833333333333334
388,9/17/2009,51.56521739130435
389,9/17/2011,40.84615384615385
390,9/17/2012,5.0
391,9/18/2008,58.25
392,9/18/2011,72.9
393,9/18/2013,29.142857142857142
394,9/19/2006,7.8
395,9/19/2008,85.0
396,9/19/2011,76.47058823529412
397,9/19/2012,
398,9/19/2013,29.09090909090909
399,9/2/2009,30.0
400,9/20/2008,2.375
401,9/20/2010,61.0
402,9/20/2013,12.8
403,9/21/2013,58.75
404,9/22/2009,340.0
405,9/23/2008,28.5
406,9/24/2008,10.0
407,9/26/2006,7.545454545454546
408,9/26/2008,1397.3333333333333
409,9/27/2008,490.0
410,9/27/2010,20.0
411,9/28/2008,543.0
412,9/29/2009,20.0
413,9/29/2012,188.5
414,9/5/2008,240.0
415,9/6/2007,16.384615384615383
416,9/6/2008,1620.0
417,9/6/2010,521.0
418,9/7/2008,429.4
419,9/8/2008,90.0
420,9/8/2009,76.0
421,9/8/2012,65.0
422,9/9/2007,11.375
423,9/9/2008,213.0
